, r-value   Accuracy ,    TP    ,    FP    ,    TN    ,    FN    
    19    ,  75.00   ,    4     ,    0     ,    8     ,    4     
    19    ,  75.00   ,    4     ,    0     ,    8     ,    4     
    19    ,  62.50   ,    3     ,    1     ,    7     ,    5     
    18    ,  68.75   ,    5     ,    2     ,    6     ,    3     
    18    ,  37.50   ,    3     ,    5     ,    3     ,    5     
    20    ,  75.00   ,    4     ,    0     ,    8     ,    4     
    18    ,  56.25   ,    5     ,    4     ,    4     ,    3     
    21    ,  75.00   ,    5     ,    1     ,    7     ,    3     
    19    ,  68.75   ,    5     ,    2     ,    6     ,    3     
    18    ,  56.25   ,    3     ,    2     ,    6     ,    5     
