, r-value   Accuracy ,    TP    ,    FP    ,    TN    ,    FN    
    16    ,  99.99   ,  19336   ,    4     ,  19332   ,    0     
    16    ,  99.97   ,  19336   ,    11    ,  19325   ,    0     
    16    ,  99.97   ,  19336   ,    10    ,  19326   ,    0     
    16    ,  99.96   ,  19336   ,    17    ,  19319   ,    0     
    16    ,  99.97   ,  19336   ,    13    ,  19323   ,    0     
    16    ,  99.97   ,  19336   ,    11    ,  19325   ,    0     
    16    ,  99.98   ,  19336   ,    9     ,  19327   ,    0     
    16    ,  99.95   ,  19336   ,    18    ,  19318   ,    0     
    16    ,  99.98   ,  19336   ,    9     ,  19327   ,    0     
    16    ,  99.96   ,  19336   ,    14    ,  19322   ,    0     
